time,count,details
1552117333474,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""51"", ""reference_signal_received_power"": ""-89"", ""signal_level"": ""4""}}"
1552117334490,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""56"", ""reference_signal_received_power"": ""-84"", ""signal_level"": ""4""}}"
1552117335503,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""56"", ""reference_signal_received_power"": ""-84"", ""signal_level"": ""4""}}"
1552117336519,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""54"", ""reference_signal_received_power"": ""-86"", ""signal_level"": ""4""}}"
1552117337548,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""54"", ""reference_signal_received_power"": ""-86"", ""signal_level"": ""4""}}"
1552117338562,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""52"", ""reference_signal_received_power"": ""-88"", ""signal_level"": ""4""}}"
1552117339588,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""52"", ""reference_signal_received_power"": ""-88"", ""signal_level"": ""4""}}"
1552117340609,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""52"", ""reference_signal_received_power"": ""-88"", ""signal_level"": ""4""}}"
1552117341628,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""52"", ""reference_signal_received_power"": ""-88"", ""signal_level"": ""4""}}"
1552117342680,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""51"", ""reference_signal_received_power"": ""-89"", ""signal_level"": ""4""}}"
1552117343711,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""51"", ""reference_signal_received_power"": ""-89"", ""signal_level"": ""4""}}"
1552117344772,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""54"", ""reference_signal_received_power"": ""-86"", ""signal_level"": ""4""}}"
1552117345816,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""54"", ""reference_signal_received_power"": ""-86"", ""signal_level"": ""4""}}"
1552117346866,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""53"", ""reference_signal_received_power"": ""-87"", ""signal_level"": ""4""}}"
1552117347885,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""53"", ""reference_signal_received_power"": ""-87"", ""signal_level"": ""4""}}"
1552117348936,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""52"", ""reference_signal_received_power"": ""-88"", ""signal_level"": ""4""}}"
1552117349980,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""52"", ""reference_signal_received_power"": ""-88"", ""signal_level"": ""4""}}"
1552117351030,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""53"", ""reference_signal_received_power"": ""-87"", ""signal_level"": ""4""}}"
1552117352052,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""53"", ""reference_signal_received_power"": ""-87"", ""signal_level"": ""4""}}"
1552117353092,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""58"", ""reference_signal_received_power"": ""-82"", ""signal_level"": ""4""}}"
1552117354122,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""58"", ""reference_signal_received_power"": ""-82"", ""signal_level"": ""4""}}"
1552117355210,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""51"", ""reference_signal_received_power"": ""-89"", ""signal_level"": ""4""}}"
1552117356282,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""51"", ""reference_signal_received_power"": ""-89"", ""signal_level"": ""4""}}"
1552117357365,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""54"", ""reference_signal_received_power"": ""-86"", ""signal_level"": ""4""}}"
1552117358391,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""54"", ""reference_signal_received_power"": ""-86"", ""signal_level"": ""4""}}"
1552117359437,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""54"", ""reference_signal_received_power"": ""-86"", ""signal_level"": ""4""}}"
1552117360470,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""54"", ""reference_signal_received_power"": ""-86"", ""signal_level"": ""4""}}"
1552117361516,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""54"", ""reference_signal_received_power"": ""-86"", ""signal_level"": ""4""}}"
1552117362540,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""54"", ""reference_signal_received_power"": ""-86"", ""signal_level"": ""4""}}"
1552117363615,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""53"", ""reference_signal_received_power"": ""-87"", ""signal_level"": ""4""}}"
1552117364640,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""53"", ""reference_signal_received_power"": ""-87"", ""signal_level"": ""4""}}"
1552117365686,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""54"", ""reference_signal_received_power"": ""-86"", ""signal_level"": ""4""}}"
1552117366738,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""54"", ""reference_signal_received_power"": ""-86"", ""signal_level"": ""4""}}"
1552117367783,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""53"", ""reference_signal_received_power"": ""-87"", ""signal_level"": ""4""}}"
1552117368817,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""53"", ""reference_signal_received_power"": ""-87"", ""signal_level"": ""4""}}"
1552117369883,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""52"", ""reference_signal_received_power"": ""-88"", ""signal_level"": ""4""}}"
1552117370911,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""52"", ""reference_signal_received_power"": ""-88"", ""signal_level"": ""4""}}"
1552117371993,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""52"", ""reference_signal_received_power"": ""-88"", ""signal_level"": ""4""}}"
1552117373018,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""52"", ""reference_signal_received_power"": ""-88"", ""signal_level"": ""4""}}"
1552117374063,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""52"", ""reference_signal_received_power"": ""-88"", ""signal_level"": ""4""}}"
1552117375087,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""52"", ""reference_signal_received_power"": ""-88"", ""signal_level"": ""4""}}"
1552117376239,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""53"", ""reference_signal_received_power"": ""-87"", ""signal_level"": ""4""}}"
1552117377267,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""53"", ""reference_signal_received_power"": ""-87"", ""signal_level"": ""4""}}"
1552117378311,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""52"", ""reference_signal_received_power"": ""-88"", ""signal_level"": ""4""}}"
1552117379348,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""52"", ""reference_signal_received_power"": ""-88"", ""signal_level"": ""4""}}"
1552117380398,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""51"", ""reference_signal_received_power"": ""-89"", ""signal_level"": ""4""}}"
1552117381455,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""51"", ""reference_signal_received_power"": ""-89"", ""signal_level"": ""4""}}"
1552117382514,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""51"", ""reference_signal_received_power"": ""-89"", ""signal_level"": ""4""}}"
1552117383541,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""51"", ""reference_signal_received_power"": ""-89"", ""signal_level"": ""4""}}"
1552117384595,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""51"", ""reference_signal_received_power"": ""-89"", ""signal_level"": ""4""}}"
1552117385626,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""51"", ""reference_signal_received_power"": ""-89"", ""signal_level"": ""4""}}"
1552117386670,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""50"", ""reference_signal_received_power"": ""-90"", ""signal_level"": ""4""}}"
1552117387695,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""50"", ""reference_signal_received_power"": ""-90"", ""signal_level"": ""4""}}"
1552117388734,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""51"", ""reference_signal_received_power"": ""-89"", ""signal_level"": ""4""}}"
1552117389774,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""51"", ""reference_signal_received_power"": ""-89"", ""signal_level"": ""4""}}"
1552117390829,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""51"", ""reference_signal_received_power"": ""-89"", ""signal_level"": ""4""}}"
1552117391860,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""51"", ""reference_signal_received_power"": ""-89"", ""signal_level"": ""4""}}"
1552117392905,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""51"", ""reference_signal_received_power"": ""-89"", ""signal_level"": ""4""}}"
1552117393956,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""51"", ""reference_signal_received_power"": ""-89"", ""signal_level"": ""4""}}"
1552117395010,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""51"", ""reference_signal_received_power"": ""-89"", ""signal_level"": ""4""}}"
1552117396062,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""51"", ""reference_signal_received_power"": ""-89"", ""signal_level"": ""4""}}"
1552117397108,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""50"", ""reference_signal_received_power"": ""-90"", ""signal_level"": ""4""}}"
